CodigoInterno;Lote;Tipo_Contendor;Distrito;Cantidad
179524;TRES;RESTO;CARABANCHEL;1;
179524;TRES;RESTO;CARABANCHEL;1;
179512;TRES;ENVASES;PUENTE DE VALLECAS;1;
179512;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179489;TRES;ENVASES;PUENTE DE VALLECAS;1;
179489;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179490;TRES;ENVASES;PUENTE DE VALLECAS;1;
179490;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179491;TRES;ENVASES;PUENTE DE VALLECAS;1;
179491;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179492;TRES;ENVASES;PUENTE DE VALLECAS;1;
179492;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179498;TRES;ORGANICA;PUENTE DE VALLECAS;1;
179498;TRES;RESTO;PUENTE DE VALLECAS;1;
179513;TRES;ENVASES;PUENTE DE VALLECAS;1;
179513;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179514;TRES;ENVASES;PUENTE DE VALLECAS;1;
179514;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179515;TRES;ENVASES;PUENTE DE VALLECAS;1;
179515;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179516;TRES;ENVASES;PUENTE DE VALLECAS;1;
179516;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179580;TRES;ENVASES;PUENTE DE VALLECAS;1;
179580;TRES;ORGANICA;PUENTE DE VALLECAS;1;
179659;TRES;ENVASES;CARABANCHEL;1;
179659;TRES;VIDRIO;CARABANCHEL;1;
179660;TRES;ENVASES;CARABANCHEL;1;
179660;TRES;VIDRIO;CARABANCHEL;1;
179580;TRES;RESTO;PUENTE DE VALLECAS;1;
179645;TRES;ENVASES;VILLAVERDE;1;
179645;TRES;VIDRIO;VILLAVERDE;1;
179638;TRES;ENVASES;VILLAVERDE;1;
179638;TRES;ORGANICA;VILLAVERDE;1;
179638;TRES;RESTO;VILLAVERDE;1;
179639;TRES;ENVASES;VILLAVERDE;1;
179639;TRES;ORGANICA;VILLAVERDE;1;
179639;TRES;RESTO;VILLAVERDE;1;
179584;TRES;ENVASES;VILLAVERDE;1;
179584;TRES;VIDRIO;VILLAVERDE;1;
179672;TRES;ENVASES;CARABANCHEL;1;
179672;TRES;VIDRIO;CARABANCHEL;1;
179673;TRES;ENVASES;CARABANCHEL;1;
179673;TRES;VIDRIO;CARABANCHEL;1;
179675;TRES;ENVASES;PUENTE DE VALLECAS;1;
179675;TRES;VIDRIO;PUENTE DE VALLECAS;1;
179608;TRES;ENVASES;VILLAVERDE;1;
179608;TRES;VIDRIO;VILLAVERDE;1;
179629;TRES;ENVASES;VILLAVERDE;1;
179629;TRES;ORGANICA;VILLAVERDE;1;
179629;TRES;RESTO;VILLAVERDE;1;
179629;TRES;RESTO;VILLAVERDE;1;
179621;TRES;ENVASES;VILLAVERDE;1;
179621;TRES;VIDRIO;VILLAVERDE;1;
179622;TRES;ENVASES;VILLAVERDE;1;
179622;TRES;VIDRIO;VILLAVERDE;1;
